zone,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Hors zones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sud-Ouest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bretagne Sud,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,0
Bretagne Ouest,0,400,265,176,22,85,22,37,1,2,5,12,22,7,374,3,173
Bretagne Nord,0,0,1,13,4,2,1,2,0,0,0,0,0,0,17,0,4
Cotentin Ouest,0,2,2,1,5,5,0,0,1,0,0,2,0,0,1,0,0
Nord de la Seine,0,0,0,0,0,0,0,0,2,18,0,0,0,0,4,0,0
Manche Est,0,0,2,2,6,1,0,2,0,0,0,1,0,1,11,1,0
Mer du Nord,0,0,4,5,15,0,4,3,0,0,1,5,3,3,5,0,0
Seine aval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royaume Uni,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Europe du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espagne et Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Açores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouest Afrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amérique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
