zone,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Hors zones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sud-Ouest,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0
Bretagne Sud,0,0,0,6,3,2,0,0,0,0,0,1,1,1,0,0,0
Bretagne Ouest,0,88,4,22,2,8,3,6,0,1,2,2,1,1,17,0,7
Bretagne Nord,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0
Cotentin Ouest,0,4,1,0,4,0,0,0,0,0,0,2,0,4,2,0,1
Nord de la Seine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manche Est,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1
Mer du Nord,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,1
Seine aval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royaume Uni,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
Europe du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Espagne et Portugal,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,6,1
Açores,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0
Ouest Afrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amérique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
