zone,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Hors zones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sud-Ouest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3
Bretagne Sud,0,0,0,1,1,2,1,0,0,0,0,4,0,0,2,2,1
Bretagne Ouest,1,0,9,7,6,15,10,3,0,2,1,3,3,6,61,6,7
Bretagne Nord,0,0,1,6,4,2,1,1,0,0,0,0,0,0,5,0,0
Cotentin Ouest,0,0,1,0,2,3,0,0,2,0,0,19,0,12,0,0,0
Nord de la Seine,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Manche Est,0,0,1,0,1,0,0,1,0,0,2,2,0,0,4,2,0
Mer du Nord,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1
Seine aval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royaume Uni,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Europe du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espagne et Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Açores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouest Afrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amérique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
