traceur,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Chausson Pullman,0,0,0,6,0,1,1,6,0,0,0,0,0,0,193,0,14
Bouchons de Dollemard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartouche HP,0,88,4,22,2,8,3,6,0,1,2,2,1,1,17,0,7
Décoration de Noël,1,1,0,3,3,4,2,4,0,1,2,0,0,3,16,3,8
Pot de yaourt Pascual,1,0,9,7,6,15,10,3,0,2,1,3,3,6,61,6,7
Seringue MacKesson,0,0,1,18,1,7,1,0,0,3,0,0,1,0,10,3,9
Bouchon Zp,0,400,265,176,22,85,22,37,1,2,5,12,22,7,374,3,173
Trappe de casier à homard,0,0,0,0,3,3,1,0,0,0,1,2,0,2,14,1,98
Flotteur translucide,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Média filtrant,0,0,1,0,0,1,1,1,0,1,1,0,0,2,0,4,1
Téléphone Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Pot de lait en poudre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dosette de lait en poudre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballon gonflable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Microlax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petit phare rouge,0,0,0,1,1,2,0,0,0,1,1,0,1,0,4,0,0
